,행정구역별,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,서울시,10192710,10200827,10208302,10312545,10249679,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0
3,부산시,3587439,3564577,3543030,3567910,3550963,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0
4,대구시,2493261,2492724,2489781,2511676,2507271,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0
5,인천시,2664576,2692696,2710579,2758296,2801274,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0
6,광주시,1413444,1422702,1433640,1454636,1463464,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0
7,대전시,1475659,1480895,1484180,1503664,1515603,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0
8,울산시,1099995,1112407,1114866,1126298,1135494,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0
9,세종시,-,-,-,-,-,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0
10,경기도,11106211,11292264,11460610,11786622,11937415,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0
11,강원도,1503806,1508575,1512870,1529818,1536448,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0
12,충청북도,1506608,1519587,1527478,1549528,1562903,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0
13,충청남도,1995531,2018537,2037582,2075514,2101284,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0
14,전라북도,1862277,1855772,1854508,1868963,1874031,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0
15,전라남도,1929836,1919000,1913004,1918485,1914339,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0
16,경상북도,2681364,2673931,2669876,2689920,2699195,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0
17,경상남도,3196953,3225255,3250176,3290536,3308765,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0
18,제주도,559258,560618,562663,571255,576156,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0
